"epgid";"channelid";"chunkstorechannelid";"channelname";"isseries";"programname";"epizodename";"startdate";"enddate"
24833950;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 18:00:00+02";"2019-09-01 19:00:00+02"
24833951;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 19:00:00+02";"2019-09-01 20:00:00+02"
24834012;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 20:00:00+02";"2019-09-01 21:00:00+02"
24834013;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 21:00:00+02";"2019-09-01 22:00:00+02"
24834014;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 22:00:00+02";"2019-09-01 23:00:00+02"
24834015;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-01 23:00:00+02";"2019-09-02 00:00:00+02"
24841297;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 00:00:00+02";"2019-09-02 01:00:00+02"
24841298;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 01:00:00+02";"2019-09-02 02:00:00+02"
24841299;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 02:00:00+02";"2019-09-02 03:00:00+02"
24841300;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 03:00:00+02";"2019-09-02 04:00:00+02"
24841301;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 04:00:00+02";"2019-09-02 05:00:00+02"
24841302;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 05:00:00+02";"2019-09-02 06:00:00+02"
24841303;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 06:00:00+02";"2019-09-02 07:00:00+02"
24841304;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 07:00:00+02";"2019-09-02 08:00:00+02"
24841305;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 08:00:00+02";"2019-09-02 09:00:00+02"
24841306;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 09:00:00+02";"2019-09-02 10:00:00+02"
24841367;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 10:00:00+02";"2019-09-02 11:00:00+02"
24841368;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 11:00:00+02";"2019-09-02 12:00:00+02"
24841369;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 12:00:00+02";"2019-09-02 13:00:00+02"
24841370;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 13:00:00+02";"2019-09-02 14:00:00+02"
24841371;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 14:00:00+02";"2019-09-02 15:00:00+02"
24841372;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 15:00:00+02";"2019-09-02 16:00:00+02"
24841373;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 16:00:00+02";"2019-09-02 17:00:00+02"
24841374;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 17:00:00+02";"2019-09-02 18:00:00+02"
24841375;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 18:00:00+02";"2019-09-02 19:00:00+02"
24841376;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 19:00:00+02";"2019-09-02 20:00:00+02"
24841437;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 20:00:00+02";"2019-09-02 21:00:00+02"
24841438;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 21:00:00+02";"2019-09-02 22:00:00+02"
24841439;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 22:00:00+02";"2019-09-02 23:00:00+02"
24841440;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-02 23:00:00+02";"2019-09-03 00:00:00+02"
24849607;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 00:00:00+02";"2019-09-03 01:00:00+02"
24849608;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 01:00:00+02";"2019-09-03 02:00:00+02"
24849609;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 02:00:00+02";"2019-09-03 03:00:00+02"
24849610;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 03:00:00+02";"2019-09-03 04:00:00+02"
24849611;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 04:00:00+02";"2019-09-03 05:00:00+02"
24849612;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 05:00:00+02";"2019-09-03 06:00:00+02"
24849613;12;999;"O2 Info";f;"Infokanál O2TV";"";"2019-09-03 06:00:00+02";"2019-09-03 07:00:00+02"
24830412;14;6;"ČT1 HD";f;"Události za okamžik a počasí";"";"2019-09-01 18:55:00+02";"2019-09-01 19:00:00+02"
24830413;14;6;"ČT1 HD";f;"Události";"";"2019-09-01 19:00:00+02";"2019-09-01 19:45:00+02"
24830414;14;6;"ČT1 HD";f;"Branky, body, vteřiny";"";"2019-09-01 19:45:00+02";"2019-09-01 19:57:00+02"
24830415;14;6;"ČT1 HD";f;"Losování Sportky a Šance";"";"2019-09-01 19:57:00+02";"2019-09-01 20:00:00+02"
24830416;14;6;"ČT1 HD";f;"Chata na prodej";"";"2019-09-01 20:00:00+02";"2019-09-01 21:20:00+02"
24830417;14;6;"ČT1 HD";f;"168 hodin";"";"2019-09-01 21:20:00+02";"2019-09-01 21:49:00+02"
24830418;14;6;"ČT1 HD";f;"Výsledky losování Šťastných 10";"";"2019-09-01 21:49:00+02";"2019-09-01 21:50:00+02"
